x,y,z
482.2740,660.732,-5.402
483.0180,660.728,-5.382
483.7460,660.742,-5.396
484.4720,660.744,-5.423
485.1900,660.740,-5.400
485.9230,660.738,-5.387
486.6870,660.750,-5.417
487.4590,660.769,-5.428
488.2220,660.757,-5.432
489.0050,660.762,-5.425
489.7630,660.786,-5.454
490.5080,660.812,-5.431
491.2250,660.823,-5.455
491.9470,660.859,-5.467
492.6710,660.887,-5.474
493.4310,660.939,-5.466
494.1790,660.975,-5.462
494.9320,661.033,-5.461
495.6800,661.069,-5.476
496.4420,661.106,-5.520
497.2180,661.144,-5.506
498.0010,661.191,-5.535
498.7170,661.228,-5.552
499.4760,661.257,-5.522
500.1990,661.266,-5.542
500.9450,661.322,-5.564
501.6790,661.360,-5.563
502.4420,661.417,-5.569
503.1980,661.419,-5.559
503.9720,661.452,-5.587
504.7340,661.463,-5.582
505.4870,661.489,-5.592
506.2370,661.503,-5.576
506.9820,661.508,-5.582
507.7310,661.524,-5.600
508.4710,661.545,-5.592
509.1730,661.553,-5.611
509.9090,661.561,-5.618
510.7040,661.582,-5.631
511.5130,661.592,-5.631
512.2910,661.565,-5.636
513.0620,661.556,-5.641
513.8290,661.570,-5.663
514.5580,661.568,-5.682
515.2520,661.582,-5.713
515.9430,661.569,-5.695
516.6480,661.543,-5.730
517.3640,661.540,-5.739
518.1120,661.551,-5.746
518.8470,661.569,-5.745
519.5670,661.556,-5.748
520.3470,661.556,-5.750
521.1890,661.535,-5.761
521.9950,661.546,-5.787
522.7420,661.546,-5.807
523.4460,661.537,-5.789
524.1200,661.514,-5.801
524.8510,661.517,-5.824
525.5970,661.531,-5.820
526.3180,661.524,-5.821
527.0610,661.499,-5.840
527.8120,661.495,-5.828
528.5720,661.490,-5.850
529.3520,661.476,-5.843
530.1300,661.464,-5.843
530.9060,661.460,-5.824
531.6650,661.464,-5.837
532.4130,661.450,-5.844
533.1260,661.446,-5.875
533.8400,661.455,-5.851
534.5790,661.454,-5.850
535.3320,661.460,-5.878
536.1100,661.490,-5.872
536.8680,661.509,-5.869
537.6160,661.525,-5.892
538.3660,661.553,-5.893
539.1300,661.566,-5.904
539.9060,661.629,-5.907
540.6590,661.680,-5.889
541.3710,661.721,-5.922
542.1020,661.766,-5.923
542.8510,661.836,-5.933
543.6080,661.885,-5.940
544.3740,661.944,-5.943
545.1280,661.994,-5.999
545.8750,662.048,-5.983
546.6280,662.084,-5.997
547.3940,662.128,-5.994
548.1590,662.187,-5.999
548.8960,662.204,-5.994
549.6370,662.250,-5.987
550.3730,662.325,-5.999
551.0920,662.378,-6.018
551.8310,662.419,-6.024
552.6000,662.455,-6.039
553.4060,662.486,-6.052
554.1880,662.538,-6.058
554.9480,662.583,-6.070
555.6670,662.631,-6.078
556.3870,662.670,-6.064
557.1220,662.719,-6.093
557.8730,662.771,-6.094
558.6040,662.835,-6.095
559.3280,662.884,-6.130
560.0280,662.937,-6.135
560.7570,662.979,-6.130
561.5630,663.032,-6.122
562.3590,663.077,-6.128
563.1410,663.127,-6.130
563.9060,663.174,-6.150
564.6400,663.219,-6.148
565.3630,663.261,-6.167
566.1280,663.312,-6.155
566.8810,663.370,-6.183
567.6270,663.442,-6.181
568.3600,663.479,-6.209
569.0700,663.512,-6.205
569.7960,663.555,-6.218
570.5590,663.619,-6.238
571.3340,663.678,-6.236
572.0830,663.736,-6.265
572.8600,663.765,-6.252
573.6110,663.812,-6.252
574.3670,663.850,-6.268
575.1350,663.911,-6.275
575.8620,663.965,-6.269
576.5740,664.009,-6.274
577.3470,664.060,-6.282
578.0870,664.131,-6.291
578.8390,664.159,-6.292
579.5960,664.189,-6.313
580.3620,664.215,-6.318
581.1100,664.270,-6.326
581.8550,664.311,-6.328
582.6010,664.323,-6.335
583.3220,664.340,-6.353
584.0880,664.367,-6.356
584.8400,664.383,-6.379
585.6090,664.419,-6.388
586.3620,664.435,-6.369
587.1050,664.436,-6.387
587.8540,664.428,-6.396
588.6290,664.450,-6.402
589.3890,664.473,-6.387
590.1350,664.471,-6.402
590.8890,664.446,-6.420
591.6590,664.434,-6.435
592.4300,664.440,-6.439
593.1810,664.446,-6.452
593.9350,664.416,-6.440
594.6420,664.416,-6.469
595.3730,664.388,-6.458
596.1150,664.367,-6.470
596.8970,664.332,-6.476
597.6780,664.306,-6.482
598.4150,664.295,-6.520
599.1210,664.259,-6.501
599.8360,664.199,-6.514
600.5860,664.150,-6.524
601.3690,664.139,-6.529
602.1180,664.118,-6.534
602.8050,664.062,-6.550
603.5120,663.993,-6.541
604.2720,663.943,-6.549
605.0860,663.885,-6.563
605.8770,663.809,-6.578
606.6170,663.738,-6.581
607.3380,663.687,-6.571
608.0230,663.602,-6.615
608.7550,663.543,-6.609
609.4700,663.484,-6.613
610.2040,663.406,-6.611
610.9380,663.345,-6.607
611.6580,663.272,-6.633
612.3860,663.182,-6.644
613.1510,663.089,-6.644
613.9860,662.989,-6.654
614.7590,662.915,-6.663
615.4610,662.814,-6.674
616.1530,662.727,-6.679
616.8740,662.651,-6.682
617.6190,662.567,-6.684
618.3580,662.479,-6.697
619.0860,662.403,-6.715
619.7800,662.330,-6.719
620.5060,662.270,-6.721
621.2240,662.256,-6.713
621.9520,662.317,-6.724
622.6480,662.396,-6.754
623.2910,662.522,-6.734
623.9450,662.711,-6.756
68.9020,683.768,1.862
69.2030,684.050,1.843
69.4930,684.260,1.788
69.7730,684.503,1.765
70.1260,684.784,1.722
70.4720,685.071,1.681
70.8430,685.347,1.607
71.2250,685.605,1.530
71.5830,685.848,1.482
71.9090,686.080,1.457
72.2790,686.315,1.399
72.6800,686.542,1.336
73.0300,686.761,1.298
73.4060,686.975,1.242
73.7410,687.194,1.207
74.0710,687.417,1.175
74.4380,687.618,1.140
